Team,Name,Rating
49ers,Brock Purdy,73
49ers,Sam Darnold,71
49ers,Trey Lance,71
49ers,Brandon Allen,54
Bears,Justin Fields,76
Bears,P.J. Walker,66
Bears,Tyson Bagent,52
Bears,Nathan Peterman,49
Bengals,Joe Burrow,95
Bengals,Trevor Siemian,57
Bengals,Jake Browning,52
Bills,Josh Allen,94
Bills,Kyle Allen,61
Bills,Matt Barkley,56
Broncos,Russell Wilson,77
Broncos,Jarrett Stidham,62
Broncos,Ben DiNucci,54
Browns,Deshaun Watson,78
Browns,Joshua Dobbs,63
Browns,Kellen Mond,62
Browns,Dorian Thompson-Robinson,61
Buccaneers,Baker Mayfield,72
Buccaneers,John Wolford,60
Buccaneers,Kyle Trask,59
Cardinals,Kyler Murray,79
Cardinals,Colt McCoy,63
Cardinals,Jeff Driskel,62
Cardinals,Clayton Tune,62
Cardinals,David Blough,58
Chargers,Justin Herbert,87
Chargers,Max Duggan,61
Chargers,Easton Stick,60
Chiefs,Patrick Mahomes,99
Chiefs,Blaine Gabbert,58
Chiefs,Chris Oladokun,56
Chiefs,Shane Buechele,51
Colts,Anthony Richardson,70
Colts,Gardner Minshew II,67
Colts,Sam Ehlinger,56
Commanders,Jacoby Brissett,72
Commanders,Sam Howell,66
Commanders,Jake Fromm,58
Cowboys,Dak Prescott,87
Cowboys,Cooper Rush,65
Cowboys,Will Grier,55
Dolphins,Tua Tagovailoa,83
Dolphins,Mike White,67
Dolphins,Skylar Thompson,65
Eagles,Jalen Hurts,88
Eagles,Marcus Mariota,69
Eagles,Tanner McKee,58
Eagles,Ian Book,55
Falcons,Desmond Ridder,70
Falcons,Taylor Heinicke,68
Falcons,Feleipe Franks,60
Falcons,Logan Woodside,52
Giants,Daniel Jones,75
Giants,Tyrod Taylor,66
Jaguars,Trevor Lawrence,82
Jaguars,C.J. Beathard,57
Jets,Aaron Rodgers,86
Jets,Zach Wilson,69
Jets,Chris Streveler,59
Jets,Tim Boyle,57
Lions,Jared Goff,80
Lions,Hendon Hooker,68
Lions,Nate Sudfeld,55
Packers,Jordan Love,70
Packers,Sean Clifford,59
Packers,Danny Etling,48
Panthers,Bryce Young,74
Panthers,Andy Dalton,72
Panthers,Matt Corral,64
Patriots,Mac Jones,74
Patriots,Bailey Zappe,63
Patriots,Malik Cunningham,61
Patriots,Trace McSorley,56
Raiders,Jimmy Garoppolo,77
Raiders,Brian Hoyer,61
Raiders,Aidan O'Connell,59
Rams,Matthew Stafford,75
Rams,Stetson Bennett IV,62
Rams,Brett Rypien,57
Rams,Dresser Winn,50
Ravens,Lamar Jackson,91
Ravens,Tyler Huntley,68
Ravens,Josh Johnson,59
Ravens,Anthony Brown,57
Saints,Derek Carr,78
Saints,Jameis Winston,70
Saints,Jake Haener,63
Seahawks,Geno Smith,81
Seahawks,Drew Lock,64
Seahawks,Holton Ahlers,54
Steelers,Kenny Pickett,73
Steelers,Mitchell Trubisky,67
Steelers,Mason Rudolph,60
Texans,C.J. Stroud,73
Texans,Davis Mills,67
Texans,Case Keenum,64
Titans,Ryan Tannehill,76
Titans,Will Levis,69
Titans,Malik Willis,66
Vikings,Kirk Cousins,84
Vikings,Nick Mullens,58
Vikings,Jaren Hall,57
