Team,Name,Rating
Patriots,Tom Brady,99
Packers,Aaron Rodgers,99
Seahawks,Russell Wilson,92
Saints,Drew Brees,91
Falcons,Matt Ryan,89
Steelers,Ben Roethlisberger,88
Panthers,Cam Newton,88
Colts,Andrew Luck,87
Chargers,Philip Rivers,87
Eagles,Carson Wentz,86
Lions,Matthew Stafford,85
Redskins,Alex Smith,84
Raiders,Derek Carr,83
49ers,Jimmy Garoppolo,83
Rams,Jared Goff,83
Texans,Deshaun Watson,82
Cowboys,Dak Prescott,82
Vikings,Kirk Cousins,82
Browns,Baker Mayfield,81
Browns,Tyrod Taylor,81
Broncos,Case Keenum,81
Jaguars,Blake Bortles,80
Eagles,Nick Foles,80
Buccaneers,Jameis Winston,80
Ravens,Joe Flacco,79
Ravens,Lamar Jackson,79
Titans,Marcus Mariota,79
Cardinals,Sam Bradford,79
Dolphins,Ryan Tannehill,78
Jets,Teddy Bridgewater,78
Jets,Josh McCown,78
Cardinals,Josh Rosen,78
Bengals,Andy Dalton,77
Chiefs,Patrick Mahomes II,77
Colts,Jacoby Brissett,76
Giants,Eli Manning,76
Jets,Sam Darnold,75
Bills,Josh Allen,74
Bears,Mitchell Trubisky,74
Buccaneers,Ryan Fitzpatrick,73
Dolphins,Brock Osweiler,72
Steelers,Mason Rudolph,72
Packers,DeShone Kizer,72
Cardinals,Mike Glennon,72
Bills,A.J. McCarron,71
Ravens,Robert Griffin III,71
Giants,Kyle Lauletta,71
Vikings,Trevor Siemian,71
Saints,Tom Savage,71
Browns,Drew Stanton,70
Titans,Blaine Gabbert,70
Broncos,Paxton Lynch,70
Packers,Brett Hundley,70
49ers,C.J. Beathard,70
Patriots,Brian Hoyer,69
Bengals,Matt Barkley,69
Steelers,Joshua Dobbs,69
Raiders,E.J. Manuel,69
Redskins,Kevin Hogan,69
Dolphins,Bryce Petty,68
Bills,Nathan Peterman,68
Bengals,Jeff Driskel,68
Texans,Joe Webb III,68
Broncos,Chad Kelly,68
Chargers,Geno Smith,68
Giants,Davis Webb,68
Falcons,Matt Schaub,68
Dolphins,David Fales,67
Jaguars,Cody Kessler,67
Chiefs,Chad Henne,67
Bears,Chase Daniel,67
Chargers,Cardale Jones,66
Steelers,Landry Jones,65
Titans,Luke Falk,65
Raiders,Connor Cook,65
Lions,Matt Cassel,65
Redskins,Colt McCoy,65
Saints,J.T. Barrett,65
Eagles,Nate Sudfeld,64
Cowboys,Mike White,64
Vikings,Kyle Sloter,64
Seahawks,Austin Davis,64
Texans,Stephen Morris,63
Eagles,Joe Callahan,63
Cowboys,Cooper Rush,63
Patriots,Danny Etling,62
Bengals,Logan Woodside,62
Colts,Brad Kaaya,62
Texans,Brandon Weeden,62
Chargers,Nic Shimonek,62
Falcons,Kurt Benkert,62
Rams,Sean Mannion,62
Jaguars,Tanner Lee,61
Chiefs,Matt McGloin,61
Buccaneers,Ryan Griffin,61
Rams,Brandon Allen,61
Seahawks,Alex McGough,61
Lions,Jake Rudock,60
Bears,Tyler Bray,60
Saints,Taysom Hill,60
Ravens,Josh Woodrum,59
Panthers,Garrett Gilbert,58
Falcons,Garrett Grayson,57
Panthers,Taylor Heinicke,55
Bills,Reid Ferguson,46
Cowboys,L.P. LaDouceur,46
Rams,Jake McQuaide,46
Cardinals,Aaron Brewer,44
Jets,Thomas Hennessy,43
Chiefs,James Winchester,43
Eagles,Rick Lovato,43
49ers,Kyle Nelson,43
Broncos,Casey Kreiter,42
Ravens,Morgan Cox,41
Texans,Jon Weeks,41
Bears,Patrick Scales,41
Steelers,Kameron Canaday,40
Packers,Hunter Bradley,39
Patriots,Joe Cardona,38
Buccaneers,Drew Ferris,38
Colts,Luke Rhodes,36
Saints,Zach Wood,35
