Team,Name,Rating,Experience,Salary
49ers,Jimmy Garoppolo,77,8,127000000
49ers,Brock Purdy,59,0,3650000
Bears,Justin Fields,74,1,7790000
Bengals,Joe Burrow,90,2,2000000
Bills,Josh Allen,92,4,222000000
Broncos,Russell Wilson,87,10,41000000
Browns,Deshaun Watson,84,5,185000000
Buccaneers,Tom Brady,97,22,1120000
Cardinals,Kyler Murray,84,3,31700000
Chargers,Justin Herbert,88,2,2000000
Chiefs,Patrick Mahomes II,95,5,227000000
Colts,Matt Ryan,81,14,17600000
Colts,Sam Ehlinger,58,1,3490000
Commanders,Taylor Heinicke,69,7,4080000
Cowboys,Dak Prescott,89,6,66600000
Dolphins,Tua Tagovailoa,75,2,2000000
Eagles,Jalen Hurts,74,2,3700000
Falcons,Marcus Mariota,71,7,13750000
Giants,Daniel Jones,70,3,2000000
Jaguars,Trevor Lawrence,76,1,12670000
Jets,Zach Wilson,73,1,12230000
Jets,Joe Flacco,66,14,570000
Jets,Mike White,56,5,2540000
Lions,Jared Goff,72,6,82830000
Packers,Aaron Rodgers,96,17,87650000
Panthers,Sam Darnold,71,4,25330000
Panthers,P.J. Walker,62,4,1710000
Patriots,Mac Jones,78,1,6900000
Raiders,Derek Carr,83,8,113000000
Rams,Matthew Stafford,85,13,97000000
Ravens,Lamar Jackson,87,4,27520000
Saints,Jameis Winston,76,7,5600000
Saints,Andy Dalton,70,11,400000
Seahawks,Geno Smith,60,9,3000000
Steelers,Mitchell Trubisky,69,5,8400000
Steelers,Kenny Pickett,68,0,6380000
Texans,Davis Mills,71,1,4060000
Titans,Ryan Tannehill,83,10,57000000
Vikings,Kirk Cousins,80,10,45000000
