Team,Name,Rating
Chiefs,Patrick Mahomes,99
Seahawks,Russell Wilson,97
Ravens,Lamar Jackson,94
Saints,Drew Brees,93
Buccaneers,Tom Brady,90
Packers,Aaron Rodgers,89
Falcons,Matt Ryan,87
Texans,Deshaun Watson,86
Eagles,Carson Wentz,84
Cowboys,Dak Prescott,84
49ers,Jimmy Garoppolo,83
Lions,Matthew Stafford,83
Vikings,Kirk Cousins,82
Colts,Philip Rivers,82
Steelers,Ben Roethlisberger,81
Titans,Ryan Tannehill,80
Raiders,Derek Carr,79
Browns,Baker Mayfield,78
Patriots,Cam Newton,78
Bills,Josh Allen,77
Cardinals,Kyler Murray,77
Bengals,Joe Burrow,76
Saints,Jameis Winston,76
Rams,Jared Goff,76
Panthers,Teddy Bridgewater,75
Dolphins,Ryan Fitzpatrick,74
Jets,Sam Darnold,73
Dolphins,Tua Tagovailoa,73
Cowboys,Andy Dalton,72
Bears,Mitchell Trubisky,72
Giants,Daniel Jones,72
Packers,Jordan Love,71
Colts,Jacoby Brissett,71
Bears,Nick Foles,71
Redskins,Dwayne Haskins Jr,70
Jaguars,Gardner Minshew II,70
Broncos,Drew Lock,70
Chargers,Justin Herbert,70
Chargers,Tyrod Taylor,69
Jets,Joe Flacco,69
Raiders,Marcus Mariota,68
Redskins,Alex Smith,68
Eagles,Jalen Hurts,68
Dolphins,Josh Rosen,67
Browns,Case Keenum,67
Ravens,Robert Griffin III,66
49ers,Nick Mullens,66
Redskins,Kyle Allen,65
Bills,Matt Barkley,64
Saints,Taysom Hill,64
Cardinals,Brett Hundley,64
Steelers,Mason Rudolph,63
Lions,Chase Daniel,63
Colts,Jacob Eason,63
Panthers,Will Grier,63
Jaguars,Joshua Dobbs,62
Chargers,Easton Stick,62
Patriots,Brian Hoyer,62
Bills,Jake Fromm,62
Buccaneers,Blaine Gabbert,62
Patriots,Jarrett Stidham,61
Broncos,Jeff Driskel,61
Texans,A.J. McCarron,61
Giants,Colt McCoy,61
Jets,James Morgan,60
Titans,Cole McDonald,60
Falcons,Matt Schaub,59
Chiefs,Chad Henne,59
Jets,David Fales,59
Jaguars,Jake Luton,59
Panthers,P.J. Walker,59
Steelers,Devlin Hodges,58
Jaguars,Mike Glennon,58
Chiefs,Jordan Ta'Amu,58
Ravens,Tyler Huntley,58
Packers,Tim Boyle,57
Cowboys,Ben DiNucci,57
Eagles,Nate Sudfeld,57
Colts,Chad Kelly,57
Seahawks,Geno Smith,56
Lions,David Blough,56
Eagles,Kyle Lauletta,56
Steelers,Paxton Lynch,56
49ers,C.J. Beathard,56
Seahawks,Anthony Gordon,55
Falcons,Kurt Benkert,55
Bengals,Ryan Finley,55
Broncos,Brett Rypien,55
Rams,John Wolford,55
Ravens,Trace McSorley,54
Bengals,Jake Dolegala,54
Buccaneers,Ryan Griffin,54
Patriots,Brian Lewerke,54
Saints,Tommy Stevens,54
Vikings,Sean Mannion,54
Cowboys,Clayton Thorson,54
Vikings,Jake Browning,53
Texans,Alex McGough,53
Vikings,Nate Stanley,53
Bills,Davis Webb,53
Giants,Cooper Rush,52
Rams,Josh Love,52
Rams,Bryce Perkins,52
Raiders,Nathan Peterman,51
Steelers,J.T. Barrett IV,50
Dolphins,Jake Rudock,49
Giants,Alex Tanney,48
Falcons,Danny Etling,48
Browns,Garrett Gilbert,48
Bears,Tyler Bray,47
Titans,Logan Woodside,47
